# Auto-generated by collect_places.py — do not edit manually
name,geonameid,photo
Cheboksary,,RU/cheboksary.jpg
Yakutsk,,RU/yakutsk.jpg
Bangkok,,TH/bangkok.jpg
Krabi,1152633,TH/krabi.jpg
Phuket,,TH/phuket.jpg
Phnom Penh,,KH/phnom-penh.jpg
Pattaya,,TH/pattaya.jpg
Cape Town,,ZA/cape-town.jpg
Cherskiy,2126199,RU/cherskiy.jpg
Moscow,,RU/moscow.jpg
Pyatigorsk,,RU/pyatigorsk.jpg
Kaluga,,RU/kaluga.jpg
Tula,,RU/tula.jpg
Saint-Petersburg,498817,RU/saint-petersburg.jpg
Istanbul,,TR/istanbul.jpg
Almata,,KZ/almata.jpg
Paphos,,CY/paphos.jpg
limassol,,CY/limassol.jpg
Larnaca,,CY/larnaca.jpg
Kutaisi,,GE/kutaisi.jpg
Tashkent,,UZ/tashkent.jpg
Samarkand,,UZ/samarkand.jpg
Baku,,AZ/baku.jpg
Tbilisi,,GE/tbilisi.jpg
Abu Dhabi,,AE/abu-dhabi.jpg
Dubai,,AE/dubai.jpg
Nicosia,,CY/nicosia.jpg
Hirosima,,JP/hirosima.jpg
Okayama,,JP/okayama.jpg
Kobe,,JP/kobe.jpg
Nara,,JP/nara.jpg
osaka,,JP/osaka.jpg
Kyoto,,JP/kyoto.jpg
Seoul,,KR/seoul.jpg
Nagoya,,JP/nagoya.jpg
Tokyo,,JP/tokyo.jpg
Saitama,,JP/saitama.jpg
Erevan,,AM/erevan.jpg
Astana,,KZ/astana.jpg
Manila,,PH/manila.jpg
Novosibirsk,,RU/novosibirsk.jpg
Ho Chi Minh City,,VN/ho-chi-minh-city.jpg
Subotica,,RS/subotica.jpg
Novi Sad,,RS/novi-sad.jpg
Belgrade,,RS/belgrade.jpg
