# Auto-generated by collect_places.py — do not edit manually
name,country,lat,lng,photo
Buluus,RU,61.3378946,129.0703488,RU/buluus.jpg
Ko Phi Phi,TH,7.7407,98.7784,TH/ko-phi-phi.jpg
Angkor Wat,KH,13.4124693,103.8644054,KH/angkor-wat.jpg
Cape of Good Hope,ZA,-34.3586894,18.457325,ZA/cape-of-good-hope.jpg
Boulders Penguin Beach,ZA,-34.1956139,18.4319045,ZA/boulders-penguin-beach.jpg
Charyn Canyon National Park,kz,43.3512576,79.0765667,KZ/charyn-canyon-national-park.jpg
Kolsai Lake,KZ,42.9356652,78.3171557,KZ/kolsai-lake.jpg
Big Almaty Lake,KZ,43.0574854,76.9822781,KZ/big-almaty-lake.jpg
Chulman,RU,56.8609737,124.8182858,RU/chulman.jpg
Kysyl-Syr,RU,63.8927341,122.7407539,RU/kysyl-syr.jpg
Mt Elbrus,RU,43.349967,42.4247305,RU/mt-elbrus.jpg
Tower Kurt and Taga,RU,42.85048,44.3142507,RU/tower-kurt-and-taga.jpg
Atomic Bomb Dome 原爆ドーム,JP,34.3795263,132.4807799,JP/atomic-bomb-dome-原爆ドーム.jpg
